,zillow_id,furniture,texture
965,72176663,sofa1,wood
966,72176663,sofa2,wood
967,72176514,chair10,wood
968,72176514,chair12,wood
969,72176514,chair2,wood
970,72176514,chair3,leather
971,72176514,chair4,wood
972,72176514,chair5,wood
973,72176514,chair6,wood
974,72176514,chair7,leather
975,72176514,chair8,leather
976,72176514,chair9,leather
977,72176514,sofa1,wood
978,72176514,sofa11,wood
979,72176514,sofa2,leather
980,72176372,bed1,stone
981,72176372,bed3,leather
982,72176372,chair1,leather
983,72176372,chair2,wood
984,72176372,chair3,wood
985,72176372,chair4,leather
986,72176372,chair5,wood
987,72176372,sofa1,wood
988,72176372,sofa2,leather
989,72176281,chair2,wood
990,72176281,chair4,leather
991,72176281,sofa1,wood
992,72176281,sofa3,wood
993,72176137,bed1,wood
994,72176137,chair3,wood
995,72176137,sofa1,wood
996,72176137,sofa2,wood
997,72175951,chair1,leather
998,72175951,chair2,leather
999,72175951,chair3,leather
1000,72175951,chair4,wood
1001,72175951,chair5,leather
1002,72175951,chair6,wood
1003,72175951,sofa1,wood
1004,72175925,chair1,stone
1005,72175925,chair2,stone
1006,72175925,chair3,wood
1007,72175925,chair4,stone
1008,72175925,chair5,leather
1009,72175925,sofa1,leather
1010,72175843,chair2,leather
1011,72175843,sofa1,wood
1012,72175798,chair1,wood
1013,72175798,chair2,wood
1014,72175798,chair3,wood
1015,72175798,chair4,wood
1016,72175798,chair5,wood
1017,72175798,chair6,wood
1018,72175798,chair7,wood
1019,72175798,sofa1,wood
1020,72175798,sofa2,wood
1021,72175798,sofa3,wood
1022,72175698,chair1,wood
1023,72175698,chair2,wood
1024,72175698,sofa1,wood
1025,72175583,bed1,wood
1026,72175557,bed1,wood
1027,72175557,chair1,wood
1028,72175557,chair2,leather
1029,72175557,chair3,wood
1030,72175557,sofa2,stone
1031,72175557,sofa4,leather
1032,72175539,chair1,leather
1033,72175539,chair2,wood
1034,72175539,chair3,wood
1035,72175539,chair4,leather
1036,72175539,chair5,leather
1037,72175539,chair6,leather
1038,72175539,chair7,wood
1039,72175539,chair8,leather
1040,72175539,sofa1,wood
1041,72175539,sofa2,leather
1042,72175539,sofa3,wood
1043,72175530,chair1,wood
1044,72175517,chair1,leather
1045,72175517,chair2,leather
1046,72175517,chair3,leather
